latex_pred,latex_true,pron,cer,wer,rouge1,chrf,chrfpp,bleu,sbleu,meteor,cer_lower,wer_lower,rouge1_lower,chrf_lower,chrfpp_lower,bleu_lower,sbleu_lower,meteor_lower
" \max\ { g_1^ * , g_2^ * \ } \leq \hat { \eta } _0","\max\ { g_1^ * , g_2^ * \ } \leq\hat { \eta } _0","Maximize the set of g sub 1 star, g sub 2 star, less than or equal to hat eta sub 0.",0.020833333333333332,0.14285714285714285,1.0,1.0,0.9762262989271348,1.0,1.0000000000000004,0.9203071887196274,0.020833333333333332,0.14285714285714285,1.0,1.0,0.9762262989271348,1.0,1.0000000000000004,0.9203071887196274
" \min_ { i , j } \left ( f_ { ij } \right ) > \epsilon","\min_ { 1\leq i , j\leq n } \ { f_ { ij } \ } > \epsilon","Minimize over i, j from 1 to n, of f sub i j, greater than epsilon.",0.39285714285714285,0.3888888888888889,0.6666666666666665,0.45484329780850524,0.5051336250862395,0.378898104643961,0.378898104643961,0.5383508218033245,0.39285714285714285,0.3888888888888889,0.6666666666666665,0.45484329780850524,0.5051336250862395,0.378898104643961,0.378898104643961,0.5383508218033245
" \widetilde { \mu } : = \ { \mu_1 , \tilde { \mu } _1 , \mu_2 , \dots , \mu_d\ }","\tilde { \mu } : = \ { \mu_1 + \tilde { \mu } _1 , \mu_2 , \dots , \mu_d \ }","mu tilde is defined as the set of mu one plus mu tilde one, mu two, dot dot dot, mu d.",0.07894736842105263,0.17391304347826086,0.9166666666666666,0.9005272522035149,0.8872233473717902,0.8811605932412903,0.8811605932412907,0.8221340526678681,0.07894736842105263,0.17391304347826086,0.9166666666666666,0.9005272522035149,0.8872233473717902,0.8811605932412903,0.8811605932412907,0.8221340526678681
 N = r\ell\sqrt { \frac { d } { 100\alpha\epsilon } },n=\frac { RL\sqrt { d } } { 100\alpha\epsilon },n equals R T square root of d divided by 100 alpha epsilon.,0.44680851063829785,0.6,0.823529411764706,0.7042614239756824,0.7015032973056106,0.5225508019670193,0.5225508019670196,0.6885723039215688,0.40425531914893614,0.6,0.823529411764706,0.7450928003519043,0.7321376733520718,0.5392935428628415,0.5392935428628415,0.6885723039215688
 n-1+O ( m\log^2 ( n ) \log\log ( n ) ) /k,n - 1 + O ( \frac { m\log^2 n \log\log n } { k } ),n minus one plus big O of m log squared n log log n divided by k.,0.46,0.8823529411764706,0.9565217391304348,0.4518575407548363,0.40203599091783926,0.3041447900370257,0.3041447900370258,0.18181818181818182,0.46,0.8823529411764706,0.9565217391304348,0.4518575407548363,0.40203599091783926,0.3041447900370257,0.3041447900370258,0.18181818181818182
 n\sigma t \ll t^ { 2(1-\sigma)\log { t } },"N ( \sigma , T ) \ll T^ { 2 ( 1-\sigma ) } \log T","N sigma, T, much less than T to the power of 2 times 1 minus sigma, log T.",0.46938775510204084,0.8125,1.0,0.5389491295301453,0.45413952586657125,0.44237500287066384,0.4423750028706637,0.6064964954493147,0.3877551020408163,0.6875,1.0,0.651723471749434,0.5744745055350472,0.5881702906695198,0.5881702906695199,0.6064964954493147
 \nabla_ { \theta } \mathcal { L } ( \theta_t ) \approx 0,\nabla_\theta\mathcal { L } ( \theta_t ) \approx0,Nabla sub theta L of theta sub t approximately zero.,0.14285714285714285,0.875,0.7999999999999999,0.860737726640271,0.8179871214273845,0.6364058876086588,0.6364058876086589,0.7042483660130718,0.14285714285714285,0.875,0.7999999999999999,0.860737726640271,0.8179871214273845,0.6364058876086588,0.6364058876086589,0.7042483660130718
 -18.6,-18.6,Negative 18.6.,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5
 \nu_1^ { \uparrow } \leq \nu_2^ { \uparrow } \leq \nu_N^ { \uparrow },\nu_1^\uparrow \leq \nu_2^\uparrow \leq \nu_N^\uparrow,Nu sub 1 up arrow is less than or equal to nu sub 2 up arrow is less than or equal to nu sub N up arrow.,0.2777777777777778,2.4,1.0,0.7121789112012104,0.6334760292409017,0.5347484027388585,0.5347484027388582,0.16949152542372883,0.2777777777777778,2.4,1.0,0.7121789112012104,0.6334760292409017,0.5347484027388585,0.5347484027388582,0.16949152542372883
 O ( MN ),O ( mn ),O of m n.,0.25,0.25,1.0,0.17,0.2761904761904762,0.0,0.35355339059327373,0.9921875,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9921875
