latex_pred,latex_true,pron,cer,wer,rouge1,chrf,chrfpp,bleu,sbleu,meteor,cer_lower,wer_lower,rouge1_lower,chrf_lower,chrfpp_lower,bleu_lower,sbleu_lower,meteor_lower
 \frac{a}{b} - \frac{c}{d},\frac{a}{b} - \frac{c}{d},а деленного на бэ минус цэ деленного на дэ,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9998518518518519,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9998518518518519
 6x^2 + 4x - 7 = 0,6x^2 + 4x - 7 = 0,шесть икс в квадрате плюс четыре икс минус семь равно нулю,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9985422740524781,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9985422740524781
 7x^2 - 3x + 2 = 0,7x^2 - 3x + 2 = 0,семь икс в квадрате минус три икс плюс два равно нулю,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9985422740524781,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9985422740524781
 \tan{\left(x + \frac{\pi}{4}\right)},\tan{\left(x + \frac{\pi}{4}\right)},тангенс икс плюс пи деленное на четыре,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9998779296875,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9998779296875
 x^4 + x^2 + 1,x^4 + x^2 + 1,икс в четвертой степени плюс икс в квадрате плюс один,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.996,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.996
 \psi^{(4)}(n),\psi^{(4)}(n),полигамма-функция от четвертого порядка и эн,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9993141289437586,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9993141289437586
 -2x^2 + 1x - 3 = 0,-2x^2 + 1x - 3 = 0,минус два икс в квадрате плюс один икс минус три равно нулю,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9985422740524781,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9985422740524781
 r_n,r_n,эр энное,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5
 \frac{a}{b} - \frac{c}{d},\frac{a}{b} - \frac{c}{d},а деленное на бэ минус цэ деленное на дэ,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9998518518518519,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9998518518518519
 \frac{m^4}{n + p},\frac{m^4}{n + p},эм в четвертой степени деленное на эн плюс пэ,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9993141289437586,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9993141289437586
 g x^2 + e x - f = 0,g x^2 + e x - f = 0,жэ икс в квадрате плюс е икс минус эф равно нулю,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9993141289437586,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9993141289437586
 \frac{m^4}{n + p},\frac{m^4}{n + p},эм в четвертой степени на эн плюс пэ,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9993141289437586,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9993141289437586
 \sqrt[9]{x},\sqrt[9]{x},корень девятой степени из икс,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9985422740524781,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9985422740524781
 \max_{x \geq 0} f(x),\max_{x \geq 0} f(x),Максимизировать функцию эф от икс при икс больше или равно нуля,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9995,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9995
 m x^2 + l x - n = 0,m x^2 + l x - n = 0,эм икс в квадрате плюс эль икс минус эн равно нулю,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9993141289437586,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9993141289437586
 H_a : \alpha \neq 365,H_a : \alpha \neq 365,"При альтернативной гипотезе, альфа не равна 365.",0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.996,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.996
 Zeta maps to X.,Zeta maps to X.,Дзета отображается в Х.,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.996,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.996
 \mathrm{e},\ker(D),Ядро Д.,1.1428571428571428,1.0,0.0,0.06578947368421051,0.04934210526315788,0.0,0.10682175159905848,0.0,1.1428571428571428,1.0,0.0,0.06578947368421051,0.04934210526315788,0.0,0.10682175159905848,0.0
 \ln{x},\ln x,натуральный логарифм икс,0.4,1.0,1.0,0.47972720478325853,0.3198181365221724,0.0,0.23643540225079385,0.45454545454545453,0.4,1.0,1.0,0.47972720478325853,0.3198181365221724,0.0,0.23643540225079385,0.45454545454545453
 \lim_{x\to a} f(x),\lim_{{x \to a}} f(x),предел при икс стремится к а от ф от икс,0.14285714285714285,0.75,1.0,0.6462940002761941,0.5887606620007775,0.7176880797428425,0.7176880797428425,0.6410256410256411,0.14285714285714285,0.75,1.0,0.6462940002761941,0.5887606620007775,0.7176880797428425,0.7176880797428425,0.6410256410256411
 X \in (Y \cup Z),X \in (Y \cup Z),множество икс является элементом объединения множеств Y и Z,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9985422740524781,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9985422740524781
 -3x + 4 = 8,-3x + 4 = 8,минус три икс плюс четыре равно восемь,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.996,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.996
