latex_pred,latex_true,pron,cer,wer,rouge1,chrf,chrfpp,bleu,sbleu,meteor,cer_lower,wer_lower,rouge1_lower,chrf_lower,chrfpp_lower,bleu_lower,sbleu_lower,meteor_lower
 \mathcal { A } _ { \mathcal { P } ^ { \pm } } ^ { n+m-1 },"a_p^ { ( n , \pm ) }","a sub p to the power of n, plus or minus.",2.15,2.0,0.6666666666666666,0.12181414717609503,0.16466880415789373,0.0,0.051181646021056355,0.16483516483516486,2.15,2.0,0.6666666666666666,0.1309727152020835,0.17155947545912806,0.0,0.054500484890145556,0.16483516483516486
 13x^2 - 4x + 9,13 x^2 - 4 x + 9,Тринадцать икс в степени два минус четыре икс плюс девять,0.125,0.5714285714285714,0.4,1.0,0.8305828897604708,0.0,0.23099966849728545,0.3758169934640523,0.125,0.5714285714285714,0.4,1.0,0.8305828897604708,0.0,0.23099966849728545,0.3758169934640523
 \tan{\frac{x+\pi}{4}},\tan{\left(x + \frac{\pi}{4}\right)},тангенс икс плюс пи деленное на четыре,0.5277777777777778,1.0,0.8333333333333333,0.4160842522421835,0.3409287948270491,0.4340620876252844,0.4340620876252846,0.5587622254288921,0.5277777777777778,1.0,0.8333333333333333,0.4160842522421835,0.3409287948270491,0.4340620876252844,0.4340620876252846,0.5587622254288921
 y = x^2,y = x^2,y равно икс в квадрате,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9814814814814815,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9814814814814815
 hr,hr,Эйч умножить на эр,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5
 lz^4,lz^4,Эл умноженное на зэт в четвёртой степени,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5
 f(x) = \sin{3x},f(x) = \sin 3x,f of x equals sin 3 x,0.14285714285714285,0.5,1.0,0.7652159189229443,0.693550968109839,0.6606328636027614,0.6606328636027612,0.9608843537414966,0.14285714285714285,0.5,1.0,0.7652159189229443,0.693550968109839,0.6606328636027614,0.6606328636027612,0.9608843537414966
 \frac{\zeta}{\gamma},\frac{c}{\gamma},с делить на гамма,0.3125,1.0,0.6666666666666666,0.680375141100185,0.5734452092837082,0.5253819788848316,0.5253819788848316,0.8412698412698414,0.3125,1.0,0.6666666666666666,0.680375141100185,0.5734452092837082,0.5253819788848316,0.5253819788848316,0.8412698412698414
 \log{(x + y)},\log{(x + y)},логарифм суммы икс и игрек,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9990234375,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9990234375
 \mathrm{e}^{\zeta x + 1},\mathrm{e}^{\zeta x + 1},е в степени дзета икс плюс один,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9996243425995492,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9996243425995492
" ( \theta_1 , \theta_2 , \ldots , \theta_k )","( \theta_1 , \theta_2 , \ldots , \theta_ { K } )","(Theta sub 1, theta sub 2, ellipsis, theta sub K)",0.125,0.3333333333333333,1.0,0.8987172319245598,0.8419382641950526,0.8082374773588931,0.8082374773588932,0.6784188034188035,0.10416666666666667,0.3333333333333333,1.0,0.903270978721915,0.845354245662346,0.8192364339055916,0.8192364339055912,0.6784188034188035
 \mathbf{I}_n,\mathbf{I}_n,Единичная матрица размера эн,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.996,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.996
 \lambda_ { k } ^ * = -2,\lambda_ { k^ * } =-2,lambda sub k star equals negative two.,0.23809523809523808,0.8333333333333334,1.0,0.655977355977356,0.6619029117550841,0.5169731539571706,0.5169731539571708,0.5090725806451614,0.23809523809523808,0.8333333333333334,1.0,0.655977355977356,0.6619029117550841,0.5169731539571706,0.5169731539571708,0.5090725806451614
 \log{\left(\cos^2{(\log{x})} \cdot \mathrm{e}^y\right)},\log{\left(\cos^2{(\log{x})} \cdot \mathrm{e}^y\right)},логарифм произведения квадрата косинуса логарифма икс и экспоненты в степени игрек,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9999460101500918,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9999460101500918
" \mathcal{L}\left\{ f(t) \right\} = \int_{-\infty}^{\infty} f(t) e^{-s t} \, dt",\mathcal{L}\{f(t)\} = \int_{0}^\infty f(t) e^{-st} dt,Laplace transform of a function: integral of the function times e to the minus s times t,0.49056603773584906,1.1666666666666667,0.7407407407407408,0.6616943112913531,0.597520472085071,0.5102676912088283,0.5102676912088284,0.633612777732117,0.49056603773584906,1.1666666666666667,0.7407407407407408,0.6616943112913531,0.597520472085071,0.5102676912088283,0.5102676912088284,0.633612777732117
 \sqrt{\log{x} + \log^2{y}},\sqrt{\log{x} + \log^2{y}},корень из суммы логарифма икс и квадрата логарифма игрек,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481
 \frac{x_1}{x_2},\frac{x_1}{x_2},икс первое деленное на икс второе,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9985422740524781,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9985422740524781
 \frac{\partial g}{\partial \eta} = g',\frac{\partial g}{\partial \eta} = g',Производная функции g по переменной эта обозначается как g штрих.,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481
 \tan{\frac{x+\pi}{4}},\tan{\left(x + \frac{\pi}{4}\right)},тангенс икс плюс пи деленное на четыре,0.5277777777777778,1.0,0.8333333333333333,0.4160842522421835,0.3409287948270491,0.4340620876252844,0.4340620876252846,0.5587622254288921,0.5277777777777778,1.0,0.8333333333333333,0.4160842522421835,0.3409287948270491,0.4340620876252844,0.4340620876252846,0.5587622254288921
 h(x) = x - \lfloor x \rfloor,h(x) = x - \lfloor x \rfloor,h of x equals x minus floor of x,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9995,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9995
 \mathbf{I},\mathbf{I}_n,Единичная матрица размера эн,0.16666666666666666,1.0,0.8,0.8178796207124591,0.6134097155343443,0.6703200460356393,0.6703200460356397,0.8099489795918368,0.16666666666666666,1.0,0.8,0.8178796207124591,0.6134097155343443,0.6703200460356393,0.6703200460356397,0.8099489795918368
 \sqrt{\log{x} + \log^2{y}},\sqrt{\log{x} + \log^2{y}},корень из суммы логарифма икс и квадрата логарифма игрек,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481
 \lim_{x\to a} f(x),\lim_{{x \to a}} f(x),Предел функции эф от икс при икс стремящемся к а,0.14285714285714285,0.75,1.0,0.6462940002761941,0.5887606620007775,0.7176880797428425,0.7176880797428425,0.6410256410256411,0.14285714285714285,0.75,1.0,0.6462940002761941,0.5887606620007775,0.7176880797428425,0.7176880797428425,0.6410256410256411
" \oint_{\gamma} f(z) \, dz = 0","\oint_{\gamma} f(z) \, dz = 0",the Cauchy integral theorem states \oint_{\gamma} f(z) dz = 0 for any closed contour if f is analytic inside and on the contour,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997724169321802,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997724169321802
 \lim_{n \to 0} e^{-n},\lim_{n \to 0} e^{-n},предел при эн стремится к нулю от е в степени минус эн,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9995,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9995
 x \equiv 806 \mod{n},x \equiv 806 \mod{n},икс эквивалентно 806 по модулю n.,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9985422740524781,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9985422740524781
" \mu= ( l , \chi )","\mu= ( l , \chi )",mu equals open parenthesis l comma chi close parenthesis,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9976851851851852,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9976851851851852
 f(-4) = \sqrt{-4} + 5,f(-4) = \sqrt{-4} + 5 \text{ which is not defined},f от минус 4 равно корень из минус 4 плюс 5 не определено,0.58,0.5,0.6666666666666666,0.4289815609411552,0.45633887500074116,0.513417119032592,0.5134171190325922,0.6059809869583911,0.58,0.5,0.6666666666666666,0.4289815609411552,0.45633887500074116,0.513417119032592,0.5134171190325922,0.6059809869583911
 lz^4,lz^4,Эл умноженное на зэт в четвёртой степени,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5
 \frac{18}{19},\frac{18}{19},Fraction: 18 over 19,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9985422740524781,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9985422740524781
